spec,n_cells,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,span_x,span_y,span_z,aabb_volume,n_reachable,coverage,g_lim_mean,g_lim_p10,g_lim_p50,g_lim_p90,g_selfpass_mean,g_selfpass_p10,g_selfpass_p50,g_selfpass_p90,g_man_mean,g_man_p10,g_man_p50,g_man_p90,g_iso_mean,g_iso_p10,g_iso_p50,g_iso_p90,g_sigma_mean,g_sigma_p10,g_sigma_p50,g_sigma_p90,g_rot_mean,g_rot_p10,g_rot_p50,g_rot_p90,g_red_mean,g_red_p10,g_red_p50,g_red_p90,g_margin_mean,g_margin_p10,g_margin_p50,g_margin_p90
rm65_base,85050,-0.6608114838600159,-0.6601327061653137,-0.3280073404312134,0.6591885685920715,0.6598673462867737,0.901992678642273,1.3200000524520874,1.3200000524520874,1.2300000190734863,2.1431522369384766,37025,0.43533215755437976,0.51275634765625,0.42923957109451294,0.5024333000183105,0.614809513092041,0.9942759275436401,1.0,1.0,1.0,0.012472987174987793,0.0035349715035408735,0.013936098664999008,0.018459556624293327,0.0577903650701046,0.020375816151499748,0.06430679559707642,0.08266234397888184,0.48100823163986206,0.2703377902507782,0.5371847748756409,0.5929083824157715,0.2899852395057678,0.0625,0.28125,0.53125,0.5743707418441772,0.4307350516319275,0.584885835647583,0.7212232351303101,0.4321571886539459,0.09407208859920502,0.3878691494464874,0.8146881461143494
rm65_v0001,83025,-0.6663410663604736,-0.6605652570724487,-0.2926097810268402,0.6536589860916138,0.6594347953796387,0.9073902368545532,1.3200000524520874,1.3200000524520874,1.2000000476837158,2.0908803939819336,31680,0.3815718157181572,0.4686973989009857,0.35469871759414673,0.4734088182449341,0.5761275887489319,1.0,1.0,1.0,1.0,0.013251244090497494,0.004143165424466133,0.014534028246998787,0.019778303802013397,0.05088503286242485,0.020503399893641472,0.056477636098861694,0.07074487954378128,0.4545312225818634,0.2712343633174896,0.5021526217460632,0.5543711185455322,0.2084837704896927,0.046875,0.1875,0.40625,0.47968947887420654,0.25942131876945496,0.5017893314361572,0.6515085101127625,0.43199270963668823,0.13363061845302582,0.40089187026023865,0.7905694246292114
rm65_v0002,101568,-0.6209275722503662,-0.6869030594825745,-0.34826183319091797,0.7290724515914917,0.7230969071388245,1.00173819065094,1.350000023841858,1.409999966621399,1.350000023841858,2.5697250366210938,35168,0.34625078764965345,0.4744599163532257,0.3620305359363556,0.4789623022079468,0.5838528871536255,1.0,1.0,1.0,1.0,0.019241105765104294,0.0075905658304691315,0.020172305405139923,0.028649872168898582,0.06433067470788956,0.02913997322320938,0.06988074630498886,0.09216661006212234,0.514373242855072,0.34767889976501465,0.5567789077758789,0.6203675270080566,0.23877175152301788,0.046875,0.203125,0.484375,0.5346719622612,0.29425951838493347,0.5639615058898926,0.723712682723999,0.3754456043243408,0.10846523195505142,0.34299716353416443,0.6859943270683289
rm65_v0003,59200,-0.58372563123703,-0.5845852494239807,-0.22482959926128387,0.5862743258476257,0.585414707660675,0.8551704287528992,1.1699999570846558,1.1699999570846558,1.0800000429153442,1.4784120321273804,21986,0.37138513513513516,0.4726701080799103,0.3584839105606079,0.47536635398864746,0.5887182950973511,0.9999909400939941,1.0,1.0,1.0,0.007766661234200001,0.002476292662322521,0.008441029116511345,0.011737095192074776,0.0456353984773159,0.018078457564115524,0.04516591131687164,0.06901396811008453,0.4259490668773651,0.24468278884887695,0.4448554217815399,0.5482139587402344,0.19098445773124695,0.046875,0.171875,0.390625,0.4761987328529358,0.2353159487247467,0.49728915095329285,0.6627114415168762,0.3722943663597107,0.12126781046390533,0.34299716353416443,0.6966305375099182
rm65_v0004,110250,-0.7228370904922485,-0.7361723780632019,-0.3456672728061676,0.7171629667282104,0.7338276505470276,0.9743327498435974,1.440000057220459,1.4700000286102295,1.3200000524520874,2.7941761016845703,35348,0.3206167800453515,0.4656333327293396,0.34029126167297363,0.4760425090789795,0.5796927213668823,1.0,1.0,1.0,1.0,0.01707877591252327,0.005063396878540516,0.017567740753293037,0.027826054021716118,0.056252557784318924,0.021097756922245026,0.05688858777284622,0.09145684540271759,0.4707210958003998,0.2788534164428711,0.5082091093063354,0.6188935041427612,0.19740818440914154,0.03125,0.1875,0.390625,0.4431777596473694,0.1888803392648697,0.476393461227417,0.6115694046020508,0.3051668107509613,0.09622504562139511,0.2357022613286972,0.6309897899627686
rm65_v0005,67158,-0.5914464592933655,-0.6158459782600403,-0.25131428241729736,0.6085535883903503,0.614154040813446,0.8886857032775879,1.2000000476837158,1.2300000190734863,1.1399999856948853,1.6826400756835938,27648,0.41168587510050925,0.488207072019577,0.3954945206642151,0.48903024196624756,0.5827928185462952,0.9899207949638367,1.0,1.0,1.0,0.010415627621114254,0.00309209362603724,0.011213637888431549,0.016128133982419968,0.05428766459226608,0.020491957664489746,0.05646486580371857,0.08294407278299332,0.46419891715049744,0.27006104588508606,0.5021964311599731,0.5932795405387878,0.22973237931728363,0.046875,0.21875,0.421875,0.47770702838897705,0.29553690552711487,0.5011776685714722,0.6097738742828369,0.40332433581352234,0.10783277451992035,0.3576408624649048,0.770080029964447
rm65_v0006,73568,-0.6408241987228394,-0.6468496322631836,-0.2594876289367676,0.649175763130188,0.6431503295898438,0.8505123853683472,1.2899999618530273,1.2899999618530273,1.1100000143051147,1.8471509218215942,26803,0.3643295998260113,0.4657629728317261,0.35409578680992126,0.47851893305778503,0.5585630536079407,0.9999827742576599,1.0,1.0,1.0,0.011838173493742943,0.002358692232519388,0.013329139910638332,0.018379060551524162,0.04567785933613777,0.010632254183292389,0.052543528378009796,0.06716658920049667,0.4171030521392822,0.15972314774990082,0.48526105284690857,0.5416615605354309,0.22940762341022491,0.03125,0.1875,0.484375,0.5044763684272766,0.21963761746883392,0.5221760869026184,0.7146782279014587,0.3606697916984558,0.1111111119389534,0.31426969170570374,0.7114582657814026
rm65_v0007,88642,-0.673615038394928,-0.6902013421058655,-0.27723386883735657,0.6763849854469299,0.6897986531257629,0.9227661490440369,1.350000023841858,1.3799999952316284,1.2000000476837158,2.235600233078003,38263,0.43165767920398906,0.49310141801834106,0.4012420177459717,0.487296998500824,0.594606876373291,0.9994474649429321,1.0,1.0,1.0,0.01683950051665306,0.005618504714220762,0.018631920218467712,0.024571916088461876,0.06266045570373535,0.024668850004673004,0.07055353373289108,0.08629713207483292,0.5028494000434875,0.3105354905128479,0.5591000914573669,0.6034621596336365,0.2445974200963974,0.0625,0.234375,0.453125,0.496706485748291,0.32678157091140747,0.5008000731468201,0.6517156362533569,0.4224192500114441,0.10000000149011612,0.37416574358940125,0.8062257766723633
rm65_v0008,77440,-0.6422715187072754,-0.6365315914154053,-0.33603447675704956,0.647728443145752,0.6534683704376221,0.833965539932251,1.2899999618530273,1.2899999618530273,1.1700000762939453,1.946997046470642,28712,0.3707644628099174,0.4790027141571045,0.36823809146881104,0.48342975974082947,0.588260293006897,0.999428927898407,1.0,1.0,1.0,0.011775288730859756,0.003343612188473344,0.012745489366352558,0.01789800263941288,0.049522463232278824,0.018945010378956795,0.055765118449926376,0.06863560527563095,0.44696712493896484,0.254508376121521,0.498201847076416,0.5473678708076477,0.21816009283065796,0.046875,0.1875,0.453125,0.4934164583683014,0.26695898175239563,0.5163691639900208,0.6619223952293396,0.37033453583717346,0.10599979013204575,0.3352007567882538,0.6787298321723938
rm65_v0009,75240,-0.659868597984314,-0.6535958051681519,-0.23129361867904663,0.6601314544677734,0.6364041566848755,0.8787063956260681,1.3200000524520874,1.2899999618530273,1.1100000143051147,1.8901081085205078,28107,0.37356459330143543,0.47608140110969543,0.36804404854774475,0.47659191489219666,0.5819360613822937,0.9997761249542236,1.0,1.0,1.0,0.012998056598007679,0.0043505774810910225,0.014232232235372066,0.019277391955256462,0.050830744206905365,0.02104734070599079,0.05510954558849335,0.07070955634117126,0.45304134488105774,0.275251179933548,0.4968319237232208,0.5544658899307251,0.22211048007011414,0.046875,0.21875,0.40625,0.49983930587768555,0.26779282093048096,0.5355856418609619,0.6567856669425964,0.3757806420326233,0.10783277451992035,0.32349830865859985,0.7470873594284058
rm65_v0010,67032,-0.6158239841461182,-0.6162134408950806,-0.279336154460907,0.6141760349273682,0.6137865781784058,0.8306638598442078,1.2300000190734863,1.2300000190734863,1.1100000143051147,1.6793190240859985,29874,0.44566774078052274,0.4777674973011017,0.40263715386390686,0.48158925771713257,0.5519670844078064,0.9988068342208862,1.0,1.0,1.0,0.009804695844650269,0.0025351708754897118,0.01104813814163208,0.014954661950469017,0.0531662292778492,0.015534279868006706,0.05870921164751053,0.08031995594501495,0.4556366801261902,0.2180512547492981,0.513368546962738,0.585349440574646,0.24308344721794128,0.0625,0.21875,0.453125,0.5194675922393799,0.36001327633857727,0.5380194783210754,0.6616124510765076,0.30945131182670593,0.06608185917139053,0.26432743668556213,0.6406874060630798
