phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,100,50000,0.0001,-2.331407070159912,1.1343289613723755,1.1343289613723755,-2.331407070159912,0.5260909795761108,0.12407989799976349,0.1194731742143631,0.019372105598449707,0.007190621457993984,0.052082907408475876,0.09810476750135422,0.02843383140861988,0.021850543096661568,0.13765017688274384,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,
train,200,50000,0.0001,-2.789010763168335,0.6767252683639526,0.6767252683639526,-2.789010763168335,0.26458045840263367,0.08927246928215027,0.12513643503189087,0.007042763289064169,0.0006957944133318961,0.03893886134028435,0.08629187941551208,0.004317697137594223,0.013437856920063496,0.04701105132699013,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
train,300,50000,0.0001,-1.8324551582336426,1.633280873298645,1.633280873298645,-1.8324551582336426,0.31902724504470825,0.09678159654140472,0.14138482511043549,0.7313706874847412,0.000386550382245332,0.058604273945093155,0.09668125212192535,0.0010759651195257902,0.15266044437885284,0.035307932645082474,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,400,50000,0.0001,-2.721144914627075,0.7445911765098572,0.7445911765098572,-2.721144914627075,0.25387370586395264,0.10536978393793106,0.09856732934713364,0.06872636824846268,0.0004765210032928735,0.035268574953079224,0.14404664933681488,0.0038481855299323797,0.018273215740919113,0.016140775755047798,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,500,50000,0.0001,-2.6142897605895996,0.851446270942688,0.851446270942688,-2.6142897605895996,0.1584196388721466,0.04743385314941406,0.1149054691195488,0.33523309230804443,0.009142414666712284,0.03374854475259781,0.06762562692165375,0.0013829853851348162,0.05353160947561264,0.03002306818962097,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
val,500,50000,,-2.7433434289693834,0.7223924753069878,0.7223924753069878,,,,,,,,,,,,,,,,,,,,,0.9335,0.9313154831199069,0.9907120743034056,0.9600960096009602,0.11311330055304725,0.15211504038473642,0.1463369158583898,0.18980193514872135,0.11129106249971656,0.180915781357162,0.0059548880662711415,0.030748159699715984,0.0658123280795366,0.08548729422201294,0.12675225378559102,0.16094083102939064,0.021841498274044725,0.02743330981406864,0.029891084741235887,0.0522326416684937,0.062300251807221686,0.0968551423270052
train,600,50000,0.0001,-2.976724147796631,0.4890121519565582,0.4890121519565582,-2.976724147796631,0.108912892639637,0.07179558277130127,0.10234054923057556,0.011132675223052502,0.00024066997866611928,0.024857407435774803,0.11418334394693375,0.009048841893672943,0.00436148839071393,0.042138684540987015,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,700,50000,0.0001,-2.54646372795105,0.9192724823951721,0.9192724823951721,-2.54646372795105,0.2268257737159729,0.14947454631328583,0.15412525832653046,0.182357057929039,0.00017499492969363928,0.0943225845694542,0.02490762621164322,0.0001923996751429513,0.05639644339680672,0.030495740473270416,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,800,50000,0.0001,-2.8049349784851074,0.6608006954193115,0.6608006954193115,-2.8049349784851074,0.29560866951942444,0.08066601306200027,0.12783481180667877,0.0007312782690860331,0.0001506949047325179,0.027076270431280136,0.06305856257677078,0.00025760443531908095,0.002402141923084855,0.0630146935582161,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,900,50000,0.0001,-2.433896541595459,1.0318392515182495,1.0318392515182495,-2.433896541595459,0.12829384207725525,0.10447154939174652,0.167566180229187,0.3584149181842804,7.201918924693018e-05,0.06416237354278564,0.12137386202812195,0.000828517833724618,0.06533441692590714,0.02132159285247326,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,1000,50000,0.0001,-3.054096221923828,0.4116395115852356,0.4116395115852356,-3.054096221923828,0.1441008299589157,0.04648103564977646,0.10509772598743439,0.0007651974447071552,4.966125561622903e-05,0.02631453052163124,0.053648799657821655,0.001446686452254653,0.001817697542719543,0.031917352229356766,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
val,1000,50000,,-2.810053629875183,0.6556822876632213,0.6556822876632213,,,,,,,,,,,,,,,,,,,,,0.933,0.9327878433664524,0.9882352941176471,0.9597113650030066,0.1064159095656392,0.14724144113827262,0.14202417734975786,0.1879967924627507,0.09512120177133164,0.20481683832241696,0.0033840221517226275,0.014626692277500882,0.06044861109633195,0.07854526037438331,0.1077991364356534,0.1426531044338963,0.013906831907875398,0.019878681392922794,0.0245159958192254,0.04439330940902327,0.05532822688297591,0.08157040136077248
train,1100,50000,0.0001,-2.7462213039398193,0.7195147275924683,0.7195147275924683,-2.7462213039398193,0.2337290346622467,0.07208187133073807,0.07119052857160568,0.20189139246940613,8.031410106923431e-05,0.020050792023539543,0.0778081864118576,0.005306032951921225,0.00543717946857214,0.031939417123794556,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
train,1200,50000,0.0001,-2.868112564086914,0.5976231694221497,0.5976231694221497,-2.868112564086914,0.13137318193912506,0.06083041802048683,0.0903235450387001,0.15373343229293823,0.0113805728033185,0.04013367369771004,0.06269504874944687,0.0041063157841563225,0.006848481018096209,0.03619851917028427,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
