phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/delta_pos_x,mask/delta_pos_x_den,loss/delta_pos_y,mask/delta_pos_y_den,loss/delta_pos_z,mask/delta_pos_z_den,loss/delta_rot_x,mask/delta_rot_x_den,loss/delta_rot_y,mask/delta_rot_y_den,loss/delta_rot_z,mask/delta_rot_z_den,ws_acc,ws_precision,ws_recall,ws_f1,delta_pos_x_mae,delta_pos_x_rmse,delta_pos_y_mae,delta_pos_y_rmse,delta_pos_z_mae,delta_pos_z_rmse,delta_rot_x_mae,delta_rot_x_rmse,delta_rot_y_mae,delta_rot_y_rmse,delta_rot_z_mae,delta_rot_z_rmse
train,1000,200000,0.0001,-1.251969575881958,1.1740455627441406,1.1740455627441406,-1.251969575881958,0.44435587525367737,0.022361204028129578,18.0,0.030809342861175537,18.0,0.024974167346954346,18.0,0.17805734276771545,18.0,0.17836198210716248,18.0,0.2951256036758423,18.0,,,,,,,,,,,,,,,,
train,2000,200000,0.0001,-0.9540702700614929,1.471944808959961,1.471944808959961,-0.9540702700614929,0.3558941185474396,0.017230818048119545,13.0,0.015073283575475216,13.0,0.012434297241270542,13.0,0.31663209199905396,13.0,0.4800263047218323,13.0,0.27465391159057617,13.0,,,,,,,,,,,,,,,,
train,3000,200000,0.0001,-1.0644886493682861,1.361526370048523,1.361526370048523,-1.0644886493682861,0.3117522597312927,0.011896288022398949,18.0,0.020857201889157295,18.0,0.011615684255957603,18.0,0.34125766158103943,18.0,0.3550003468990326,18.0,0.30914685130119324,18.0,,,,,,,,,,,,,,,,
train,4000,200000,0.0001,-1.3595975637435913,1.0664175748825073,1.0664175748825073,-1.3595975637435913,0.18650050461292267,0.010877368040382862,16.0,0.011545736342668533,16.0,0.013780470937490463,16.0,0.3337087333202362,16.0,0.23045435547828674,16.0,0.2795504331588745,16.0,,,,,,,,,,,,,,,,
train,5000,200000,0.0001,-1.7541565895080566,0.6718584299087524,0.6718584299087524,-1.7541565895080566,0.36481592059135437,0.012464706785976887,15.0,0.006113953422755003,15.0,0.013286164961755276,15.0,0.08403968811035156,15.0,0.09818549454212189,15.0,0.09295250475406647,15.0,,,,,,,,,,,,,,,,
val,5000,200000,,-1.4973724645376205,0.9286426624283195,0.9286426624283195,-1.4973724645376205,0.33800151562318204,0.00913404374212405,4.95000000005,0.009738183139436956,4.95000000005,0.011896215194010438,4.95000000005,0.18105603498406708,4.95000000005,0.19123864619527012,4.95000000005,0.18757802789099515,4.95000000005,0.8555,0.8026868178001679,0.9465346534653465,0.8686960472512493,0.02244864735150277,0.031950103899077854,0.023519287030259618,0.032876432598142255,0.02719679761000655,0.03653519439852496,0.1995702997677856,0.27217442903255756,0.21332873799885163,0.2940642078897551,0.2051728599262659,0.28747558514844695
train,6000,200000,0.0001,-1.4399158954620361,0.986099123954773,0.986099123954773,-1.4399158954620361,0.2327449917793274,0.010030504316091537,13.0,0.007718198467046022,13.0,0.013755000196397305,13.0,0.2538582980632782,13.0,0.13779816031455994,13.0,0.33019399642944336,13.0,,,,,,,,,,,,,,,,
train,7000,200000,0.0001,-1.6092512607574463,0.8167638182640076,0.8167638182640076,-1.6092512607574463,0.31589189171791077,0.02668478898704052,12.0,0.013069052249193192,12.0,0.01436315756291151,12.0,0.12665918469429016,12.0,0.14020200073719025,12.0,0.17989374697208405,12.0,,,,,,,,,,,,,,,,
train,8000,200000,0.0001,-1.5142645835876465,0.9117504358291626,0.9117504358291626,-1.5142645835876465,0.2513118088245392,0.01058634277433157,15.0,0.01116841658949852,15.0,0.009076965041458607,15.0,0.25228428840637207,15.0,0.1800040602684021,15.0,0.19731858372688293,15.0,,,,,,,,,,,,,,,,
train,9000,200000,0.0001,-1.532193660736084,0.8938214182853699,0.8938214182853699,-1.532193660736084,0.5996571183204651,0.0027155696880072355,15.0,0.004469824954867363,15.0,0.0021344705019146204,15.0,0.1247609332203865,15.0,0.09296886622905731,15.0,0.06711466610431671,15.0,,,,,,,,,,,,,,,,
train,10000,200000,0.0001,-1.5203684568405151,0.9056466221809387,0.9056466221809387,-1.5203684568405151,0.5607939958572388,0.006314958445727825,20.0,0.005474635865539312,20.0,0.004067903850227594,20.0,0.10479893535375595,20.0,0.1080152839422226,20.0,0.11618097126483917,20.0,,,,,,,,,,,,,,,,
